"pre","ACD","FOUT_avg","FOUT_max","FOUT_sum","MLOC_avg","MLOC_max","MLOC_sum","NBD_avg","NBD_max","NBD_sum","NOF_avg","NOF_max","NOF_sum","NOI","NOM_avg","NOM_max","NOM_sum","NOT","NSF_avg","NSF_max","NSF_sum","NSM_avg","NSM_max","NSM_sum","PAR_avg","PAR_max","PAR_sum","TLOC","CC_avg","CC_max","CC_sum","target"
1,0,6.75,29,54,9.25,32,74,1.75,5,14,0,0,0,0,8,8,8,1,3,3,3,0,0,0,2,4,16,128,2.875,7,23,FALSE
1,0,12.5,13,25,16,18,32,2,3,4,0,0,0,0,2,2,2,1,1,1,1,0,0,0,3,4,6,55,4,4,8,FALSE
0,0,5.33333333333333,10,16,12.6666666666667,29,38,3,6,9,0,0,0,0,3,3,3,1,0,0,0,0,0,0,1,2,3,70,4.33333333333333,9,13,FALSE
2,0,7.33333333333333,16,88,9.66666666666667,28,116,2.08333333333333,5,25,0,0,0,0,12,12,12,1,0,0,0,0,0,0,1.33333333333333,2,16,174,2.83333333333333,8,34,FALSE
2,4,6.21052631578947,27,118,9.89473684210526,55,188,1.78947368421053,4,34,8,8,8,0,18,18,18,1,0,0,0,1,1,1,0.578947368421053,2,11,277,2.42105263157895,11,46,FALSE
1,0,1,1,2,5,8,10,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1.5,2,3,26,1,1,2,FALSE
0,0,1.33333333333333,4,8,3.66666666666667,12,22,1.16666666666667,2,7,1,2,2,0,3,3,6,1,0,0,0,0,0,0,1,3,6,54,1.33333333333333,3,8,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,3,3,3,0,0,0,1.44444444444444,4,13,15,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,16,0,0,0,0,0,0,19,0,0,0,FALSE
2,0,5.09090909090909,22,168,8.48484848484848,32,280,1.72727272727273,6,57,4.33333333333333,11,13,0,10.6666666666667,29,32,1,0.333333333333333,1,1,0.333333333333333,1,1,1,3,33,386,2.96969696969697,15,98,FALSE
1,0,4,7,12,8.33333333333333,13,25,1.66666666666667,3,5,1,1,1,0,3,3,3,1,0,0,0,0,0,0,0.666666666666667,1,2,45,2,3,6,FALSE
0,1,4.77777777777778,12,43,5.11111111111111,14,46,1.22222222222222,2,11,6,6,6,0,9,9,9,1,0,0,0,0,0,0,0.888888888888889,3,8,82,1.11111111111111,2,10,FALSE
0,0,8.5,14,17,5.5,9,11,1,1,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,0.5,1,1,23,1,1,2,FALSE
1,4,4.71428571428571,28,99,6.80952380952381,47,143,1.38095238095238,3,29,6,6,6,0,21,21,21,1,0,0,0,0,0,0,0.523809523809524,2,11,216,1.76190476190476,6,37,FALSE
1,2,4.05882352941176,12,69,6.82352941176471,25,116,1.70588235294118,5,29,5,5,5,0,17,17,17,1,0,0,0,0,0,0,0.705882352941177,2,12,177,2.47058823529412,6,42,FALSE
0,0,1.33333333333333,2,4,2.33333333333333,3,7,1,1,3,0,0,0,0,1.5,2,3,1,0,0,0,0,0,0,1.66666666666667,3,5,23,1.33333333333333,2,4,FALSE
1,4,5.46153846153846,29,142,9.46153846153846,43,246,1.53846153846154,4,40,7.5,13,15,0,13,25,26,1,0.5,1,1,0,0,0,0.730769230769231,2,19,346,2.53846153846154,7,66,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,11,11,0,0,0,0,0,0,14,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,0,0,0,0,0,0,0.444444444444444,1,4,12,0,0,0,FALSE
0,0,1.25,2,5,1.75,5,7,1.25,2,5,0,0,0,0,1,1,1,1,2,2,2,3,3,3,1.25,2,5,23,1.25,2,5,FALSE
1,1,2.88888888888889,10,52,5.22222222222222,25,94,1.44444444444444,4,26,1,1,1,0,9,9,9,1,5,5,5,9,9,9,0.666666666666667,3,12,168,2.05555555555556,7,37,FALSE
1,0,5.11764705882353,18,87,7,18,119,1.41176470588235,3,24,5,5,5,0,12,12,12,1,5,5,5,5,5,5,0.647058823529412,1,11,183,1.52941176470588,3,26,FALSE
0,0,4.5,17,18,5.25,18,21,1,3,4,2,2,2,0,4,4,4,1,0,0,0,0,0,0,1.25,2,5,41,1.25,4,5,FALSE
0,0,2.66666666666667,6,8,3.66666666666667,7,11,1.66666666666667,3,5,1,1,1,0,3,3,3,1,0,0,0,0,0,0,2,3,6,28,1.66666666666667,3,5,FALSE
0,0,2.4,6,12,5.6,18,28,1.4,3,7,2,2,2,0,5,5,5,1,0,0,0,0,0,0,1.8,3,9,52,2.8,7,14,FALSE
1,0,3.6,5,18,7.2,10,36,1.6,2,8,3,3,3,0,5,5,5,1,4,4,4,0,0,0,1,4,5,59,3,4,15,FALSE
2,0,6.11111111111111,33,55,15.7777777777778,83,142,1.66666666666667,3,15,8,15,16,0,4.5,7,9,1,0,0,0,0,0,0,0.777777777777778,2,7,190,4.66666666666667,19,42,FALSE
1,0,1.5,2,3,3,5,6,1,1,2,3,3,3,0,2,2,2,1,0,0,0,0,0,0,1.5,3,3,26,1,1,2,FALSE
0,0,3.5,4,7,10.5,16,21,2,2,4,0,0,0,0,2,2,2,1,0,0,0,0,0,0,3,4,6,34,4,6,8,FALSE
1,0,0.666666666666667,1,2,1,1,3,1,1,3,3,3,3,0,3,3,3,1,0,0,0,0,0,0,0.666666666666667,1,2,15,1,1,3,FALSE
4,14,5.11864406779661,17,302,7.98305084745763,35,471,1.67796610169492,4,99,6.5,26,26,0,14.5,52,58,1,0.25,1,1,0.25,1,1,0.745762711864407,4,44,679,2.08474576271186,13,123,FALSE
0,4,3.22222222222222,13,58,5.88888888888889,24,106,1.55555555555556,4,28,12,12,12,0,18,18,18,1,0,0,0,0,0,0,0.833333333333333,3,15,186,1.61111111111111,4,29,FALSE
0,0,5,10,25,6,11,30,1.8,3,9,0,0,0,0,3,3,3,1,1,1,1,2,2,2,4.2,5,21,53,2.4,4,12,FALSE
1,0,0.166666666666667,1,3,1.44444444444444,3,26,1,1,18,2,2,2,0,18,18,18,1,0,0,0,0,0,0,0.333333333333333,2,6,70,1,1,18,FALSE
1,0,15.75,80,126,22.625,118,181,2.625,6,21,1.5,3,3,0,0.5,1,1,1,0,0,0,3.5,7,7,3,6,24,219,6.875,32,55,FALSE
0,0,1.55555555555556,4,14,6,18,54,1.66666666666667,2,15,0,0,0,0,0,0,0,1,0,0,0,9,9,9,2.88888888888889,7,26,82,2.11111111111111,5,19,FALSE
0,0,1.6,4,8,1.6,4,8,1,1,5,2,2,2,0,5,5,5,1,0,0,0,0,0,0,1,1,5,27,1,1,5,FALSE
0,0,1,1,2,5.5,10,11,2,3,4,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2.5,3,5,23,2.5,4,5,FALSE
0,0,3.5,11,21,4.83333333333333,13,29,1.16666666666667,2,7,0,0,0,0,1,1,1,1,0,0,0,5,5,5,0.666666666666667,1,4,57,2.33333333333333,7,14,FALSE
0,1,4.42857142857143,11,62,7.78571428571429,25,109,1.85714285714286,6,26,2,4,4,0,3.5,5,7,1,0,0,0,3.5,7,7,1.64285714285714,5,23,178,3.42857142857143,12,48,FALSE
1,1,4,8,20,7.6,17,38,2.2,6,11,0,0,0,0,5,5,5,1,1,1,1,0,0,0,0.4,1,2,65,2,4,10,FALSE
0,3,2.8125,16,90,7.25,44,232,1.84375,5,59,7,14,14,0,14.5,28,29,1,0,0,0,1.5,3,3,1.21875,4,39,328,2.625,9,84,FALSE
1,0,5.75,12,23,8.25,18,33,1.75,3,7,2,2,2,0,4,4,4,1,0,0,0,0,0,0,0,0,0,55,2,4,8,FALSE
1,3,10.0810810810811,60,373,15.1891891891892,75,562,2.37837837837838,7,88,16,16,16,0,36,36,36,1,9,9,9,1,1,1,0.783783783783784,3,29,724,4,21,148,FALSE
0,4,5.14285714285714,34,108,10.3809523809524,63,218,1.9047619047619,8,40,5,7,10,0,10.5,13,21,1,1.5,3,3,0,0,0,0.666666666666667,3,14,307,2.23809523809524,9,47,FALSE
0,1,7.42857142857143,33,52,12.1428571428571,51,85,2.28571428571429,6,16,1,1,1,0,7,7,7,1,0,0,0,0,0,0,0.142857142857143,1,1,124,3.14285714285714,12,22,FALSE
4,5,7.66666666666667,63,253,10.4848484848485,62,346,1.84848484848485,6,61,6.5,12,13,0,16,28,32,1,4,8,8,0.5,1,1,0.727272727272727,3,24,486,2.27272727272727,7,75,FALSE
1,1,8,31,72,12.3333333333333,41,111,2.77777777777778,7,25,2.5,5,5,0,4.5,8,9,1,0.5,1,1,0,0,0,0.777777777777778,2,7,169,3.11111111111111,7,28,FALSE
0,0,1.25,2,5,1.75,5,7,1.25,2,5,0,0,0,0,1,1,1,1,2,2,2,3,3,3,1.25,2,5,23,1.25,2,5,FALSE
0,0,3.125,8,25,6,19,48,2,4,16,1,1,1,0,8,8,8,1,0,0,0,0,0,0,0.875,2,7,76,2,4,16,FALSE
0,0,0.666666666666667,1,2,1,1,3,1,1,3,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,13,1,1,3,FALSE
0,0,2.53333333333333,8,38,3.93333333333333,14,59,1.33333333333333,3,20,1,1,1,0,2,2,2,1,7,7,7,13,13,13,0.933333333333333,3,14,110,1.66666666666667,5,25,FALSE
0,0,1.33333333333333,2,4,1.66666666666667,2,5,1,1,3,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,15,1,1,3,FALSE
0,0,0,0,0,1,1,5,1,1,5,2,2,2,0,5,5,5,1,0,0,0,0,0,0,0.4,1,2,21,1,1,5,FALSE
0,0,5.66666666666667,22,34,7.83333333333333,37,47,1.5,4,9,0,0,0,0,0,0,0,1,1,1,1,6,6,6,2.33333333333333,5,14,67,3,11,18,FALSE
0,0,6.07142857142857,31,85,9.07142857142857,36,127,2.07142857142857,4,29,1,1,2,0,7,12,14,1,2,4,4,0,0,0,1.21428571428571,3,17,180,2.92857142857143,8,41,FALSE
0,0,6,15,48,11.375,29,91,2.625,4,21,0.5,1,1,0,4,6,8,1,1.5,3,3,0,0,0,1.375,3,11,129,3.625,7,29,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,3,3,5,0,0,0,FALSE
0,0,5,17,65,7.69230769230769,21,100,1.92307692307692,4,25,0.5,1,1,0,6.5,11,13,1,2,4,4,0,0,0,1.46153846153846,3,19,152,2.38461538461538,6,31,FALSE
0,0,2.5,4,5,10,17,20,2.5,4,5,2,2,2,0,2,2,2,1,0,0,0,0,0,0,1,1,2,35,3.5,6,7,FALSE
0,0,1.38461538461538,5,18,2.23076923076923,9,29,1.15384615384615,2,15,2,2,2,0,13,13,13,1,0,0,0,0,0,0,1.30769230769231,4,17,68,1.23076923076923,3,16,FALSE
0,0,9.73333333333333,28,146,16.2666666666667,52,244,2.26666666666667,4,34,0,0,0,0,15,15,15,1,6,6,6,0,0,0,2.2,3,33,314,4.66666666666667,16,70,FALSE
0,0,8.75,19,35,28.75,71,115,2.5,3,10,0,0,0,0,0,0,0,1,9,9,9,4,4,4,0.25,1,1,140,8,18,32,FALSE
3,0,9,18,18,17,33,34,2,3,4,0,0,0,0,2,2,2,1,3,3,3,0,0,0,1,2,2,48,4,7,8,TRUE
1,0,0.833333333333333,2,5,2.16666666666667,6,13,1,1,6,2,2,2,0,6,6,6,1,0,0,0,0,0,0,0.333333333333333,1,2,31,1.33333333333333,3,8,TRUE
6,0,4.125,12,33,8.75,22,70,1.625,3,13,0.5,1,1,0,1.5,2,3,1,1.5,3,3,2.5,5,5,1.25,2,10,102,3,6,24,TRUE
10,2,10.7058823529412,100,182,17.3529411764706,132,295,1.94117647058824,4,33,9,9,9,0,17,17,17,1,0,0,0,0,0,0,1.35294117647059,4,23,348,6.41176470588235,52,109,FALSE
1,0,1.31578947368421,11,25,4.47368421052632,21,85,1,1,19,7,7,7,0,18,18,18,1,31,31,31,1,1,1,0.842105263157895,7,16,167,2.10526315789474,8,40,FALSE
1,0,3.5,7,7,6.5,12,13,2,3,4,0,0,0,0,2,2,2,1,1,1,1,0,0,0,1.5,3,3,29,2,3,4,FALSE
